	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
PCOLCE	10.75142207	9.904188767	9.938564185	9.87597155	9.641004234	9.608032953	9.299723093	8.913001684	9.291987227	9.52442	9.75489	9.564246139	9.556610848	10.39416618	11.45223869	9.295005195	10.56647648	9.55549957	9.099718377	9.83668	9.838909649	9.55364	9.790173689	10.13867885	9.090921684	8.97019619	9.259884107	9.200028934	9.372787379	11.07433369	9.307646999	9.786548767	8.616756266	9.63716	9.238901268	9.636048767	10.00719309	9.892927499	9.421065195	9.73574	8.977853754	9.5743	9.097028688	9.312966476	9.644490581	9.596370581	8.759506139	9.328667227	9.67372155	9.480185663	9.327960672	9.121241905	9.496200848	9.617907338	9.203560593	9.37123	9.29698	9.606123348	9.690612759	9.302136176	9.589357379	9.34546207	9.742010581	9.342708934	9.240016346	9.37316314	9.788747379	9.566936476	9.590500848	9.44702147	10.24316173	9.207027227	9.409603093	9.364625735	9.03512147	10.19132335	8.979803754	8.614826176	9.253461905	9.513615663	9.199406999	9.51491	9.51908147	9.916825254	9.366531268	9.884073689	9.538730672	8.40547	9.958045254	8.563761503	8.962061268	9.289438852	9.55587	9.322997338	9.365795663	9.610118688	9.416836472	9.163878852	9.401287338
LILRB1	4.36646207	6.083288767	3.831404185	5.96102155	5.128654234	8.301592953	7.297103093	5.179541684	4.311867227	6.26012	4.60357	8.379936139	5.943390848	6.870446176	10.70538869	4.750205195	5.173756476	8.17421957	7.687728377	4.67406	7.171789649	7.45091	8.151853689	5.869788852	6.008521684	7.38375619	6.403814107	6.821868934	4.672057379	5.033713689	6.395976999	6.106798767	7.385326266	5.21025	5.217971268	8.203868767	5.891683093	4.249907499	5.619915195	5.3909	6.591533754	4.97799	9.422328688	4.715736476	6.876710581	6.648470581	6.584706139	2.906587227	6.50279155	5.418635663	6.887520672	5.626651905	6.131770848	6.987037338	6.556290593	4.13525	4.73294	4.752863348	6.870482759	7.468516176	4.576807379	6.47226207	6.395190581	6.037618934	6.072566346	5.93352314	5.886387379	4.670186476	6.636700848	6.59225147	6.115611733	6.177687227	5.656973093	6.707465735	6.30374147	5.980953349	6.485293754	3.984436176	7.839711905	4.583795663	2.420296999	5.29828	6.80081147	4.769045254	6.353081268	6.142263689	4.964100672	4.7418	3.485625254	8.125351503	6.334441268	5.270978852	5.05129	8.472437338	7.457695663	9.741558688	5.713906472	5.748128852	6.112257338
MET	0.96535207	1.953738767	0.464734185	0.98286155	1.035204234	1.736182953	1.178663093	0.359541684	1.759397227	0.72618	0.98451	2.143206139	0.529190848	2.742006176	3.510958688	0.427525195	0.895476476	1.72592957	0.112908377	1.33864	1.756869649	2.26965	1.426423689	0.0	1.107181684	0.90106619	-0.058855893	0.263338934	0.289587379	1.686713689	0.354636999	1.023308767	0.517066266	0.47498	0.779251268	2.035788767	1.446473093	0.884487499	0.895725195	1.02434	0.653583754	1.07127	1.520978688	0.496816476	1.250930581	1.183760581	1.024166139	0.012517227	1.08454155	1.228045663	0.473010672	0.181451905	0.428080848	1.786007338	0.313850593	0.62765	0.57043	0.907353348	1.398182759	1.638366176	1.217857379	0.42834207	1.185250581	0.827488934	1.304496346	1.00470314	1.320527379	0.439346476	0.276700848	0.45461147	1.064051733	0.521147227	0.404443093	1.625755735	0.71805147	1.923013349	1.274793754	0.412896176	0.948491905	0.477415663	-0.215903001	0.49148	1.04738147	1.918185254	1.018391268	0.666403689	1.512110672	0.55523	0.622845254	1.042051503	0.770641268	0.704488852	0.57327	2.045647338	1.944735663	2.628438688	0.391596472	0.687528852	1.166067338
LTBP2	8.94426207	8.875018767	8.412754185	8.67041155	7.275924234	7.967362953	8.323453093	7.610731684	8.115237227	8.51681	8.51071	8.384866139	8.415710848	9.258096176	10.59579869	8.395425195	8.662556476	8.47206957	8.072568377	8.54451	8.646519649	8.40803	8.457043689	8.471388852	8.200621684	7.92795619	7.972054107	8.133998934	7.246227379	9.638253689	7.884096999	8.571618767	7.709286266	8.35039	8.258391268	8.654068767	8.395443093	8.119057499	8.281175195	8.37753	7.755143754	8.37621	8.109108688	8.002226476	8.340310581	6.985260581	7.982576139	6.748537227	8.57831155	8.367775663	8.174970672	7.114201905	8.355400848	8.463427338	7.955490593	7.30213	8.16077	8.579253348	8.565322759	8.337556176	8.346677379	8.03213207	8.368160581	8.146238934	8.409896346	8.18480314	8.757857379	8.111026476	8.293510848	8.28181147	8.822011733	8.195277227	8.162253093	8.377205735	8.15430147	9.158623349	8.114823754	6.718436176	8.227981905	8.161925663	8.112626999	8.44521	5.68779147	8.367975254	8.112741268	8.481363689	6.319860672	6.32626	8.308805254	7.935491503	8.325351268	8.227578852	8.24246	8.366417338	8.374555663	7.962938688	8.341826472	8.080258852	8.287417338
IL7R	1.04504207	0.881668767	1.011584185	1.61242155	1.771324234	1.758392953	3.020263093	1.370171684	0.806497227	2.10673	0.29685	1.574516139	0.857100848	3.368976176	4.662188688	0.300045195	1.495436476	1.83830957	1.234988377	1.07197	3.254829649	2.97099	1.582453689	0.998538852	0.115501684	3.02812619	0.320554107	0.975218934	0.360047379	1.373173689	1.480096999	1.506238767	3.106656266	0.37859	1.078661268	1.704728767	1.502423093	0.890957499	1.934945195	0.56257	2.223953754	0.51829	3.045398688	0.627616476	0.968680581	2.233500581	1.876186139	0.389847227	1.43932155	1.329055663	1.857390672	0.919851905	1.344060848	1.790997338	1.536060593	0.53691	0.82383	1.231663348	2.662932759	2.510376176	2.259957379	0.88239207	1.151270581	0.553288934	1.400476346	2.35927314	2.024367379	0.938926476	0.507110848	0.59001147	1.746411733	0.945347227	1.471413093	3.548985735	1.69708147	1.503713349	2.407163754	1.946316176	2.059551905	0.694585663	0.0	1.32586	2.86916147	3.724385254	3.352741268	1.338913689	3.368720672	0.3922	0.920305254	2.476351503	2.523841268	2.254038852	0.65975	3.522197338	3.375485663	3.246658688	1.601036472	2.004128852	1.213117338
VCAM1	5.57141207	6.156528767	4.104254185	6.11468155	4.997654234	6.616492953	6.267183093	5.125951684	4.227347227	5.62844	4.09442	6.635336139	5.195000848	6.614756176	9.086468688	4.545905195	3.980406476	7.08524957	5.343348377	4.72886	6.716429649	6.68456	6.361403689	4.656088852	5.435741684	6.22899619	4.605524107	5.192558934	4.034657379	4.718283689	5.245226999	5.832058767	7.048926266	4.22408	5.441771268	6.837978767	4.950833093	4.500077499	5.320785195	4.96313	4.994443754	5.3128	6.982738688	3.884386476	5.843030581	4.771400581	5.365866139	3.424197227	5.68855155	5.237515663	4.998150672	4.603401905	4.926350848	6.212567338	5.012070593	4.18477	4.5458	5.498063348	5.730022759	5.974726176	4.993997379	5.21880207	5.267110581	4.833058934	5.497666346	5.60081314	6.800647379	5.238116476	4.464130848	5.78849147	5.844921733	5.010157227	5.112803093	5.914865735	5.39571147	5.992603349	6.070393754	3.700116176	5.945931905	5.159715663	2.913846999	5.10134	4.55310147	5.805045254	5.617601268	5.703303689	5.171700672	4.44005	3.684655254	6.315941503	7.040701268	5.384978852	4.75304	7.164627338	6.880615663	7.430308688	4.902956472	5.597588852	5.519677338
SELL	7.00863207	8.830918767	3.859504185	7.60643155	8.665654234	9.201342953	7.619693093	6.948461684	7.296357227	6.58635	8.20698	8.830936139	6.079430848	9.235916176	10.38764869	7.503055195	5.117306476	8.41400957	6.499348377	6.36471	7.633949649	9.06483	8.703783689	5.634088852	7.882441684	7.19037619	7.646954107	6.335918934	6.213347379	6.882063689	6.968236999	7.613668767	7.974256266	5.33615	7.643471268	9.253488767	6.681953093	6.649667499	7.380255195	6.93117	7.289393754	6.98814	8.796978688	6.646836476	7.515430581	7.798310581	7.547736139	4.614557227	7.66269155	7.629665663	6.794480672	6.296491905	7.130570848	8.435557338	7.509970593	6.33834	5.31764	6.894703348	7.294472759	8.686706176	7.177627379	6.07275207	6.889070581	7.563518934	8.038766346	7.83228314	9.055737379	6.241546476	6.899770848	6.38717147	7.308261733	7.185827227	6.334723093	7.626365735	7.52302147	7.826143349	7.426683754	6.136926176	7.219321905	5.778515663	4.254156999	6.72897	6.64779147	8.390855254	7.163921268	6.496273689	7.897890672	6.62681	3.425065254	7.518151503	6.774921268	7.656708852	5.91512	8.946037338	8.408545663	9.578608688	6.458636472	7.764468852	7.732677338
F11	8.90727207	9.329578767	6.573054185	8.75255155	8.804974234	8.696832953	8.869813093	8.389231684	8.365257227	8.7149	8.90611	9.035486139	8.144700848	9.797936176	11.10227869	8.624325195	8.084586476	9.10899957	8.469218377	8.29304	8.669759649	8.92821	9.042683689	8.392588852	8.765341684	8.02661619	8.389944107	8.534508934	7.532087379	9.256863689	8.424556999	8.659898767	7.937686266	7.54414	8.364281268	9.190068767	8.813473093	8.191787499	8.610005195	8.32089	8.426763754	8.73131	8.837548688	8.318876476	8.753760581	8.974050581	8.094336139	6.999007227	9.02429155	8.847205663	7.857770672	7.462071905	8.419320848	9.195717338	8.403030593	7.80492	7.26753	8.960893348	9.043182759	8.947186176	8.738767379	8.48347207	8.279330581	8.404898934	8.765816346	8.75384314	9.224037379	8.642746476	8.670020848	8.57344147	8.949001733	8.411337227	8.837253093	8.744135735	8.74116147	9.530343349	8.689273754	8.208866176	8.799291905	8.277145663	7.873326999	8.6273	8.37986147	9.360515254	8.411521268	8.771433689	8.830850672	7.08715	6.297125254	8.630971503	8.692861268	8.582178852	7.42023	9.165547338	8.888475663	8.947988688	8.453386472	8.770158852	8.805627338
COMP	7.78292207	10.80825877	7.818794185	10.49409155	9.125634234	8.279462953	10.07532309	9.957141684	9.320187227	9.98662	7.44276	9.331236139	9.548550848	10.47375618	12.39485869	9.823015195	9.395986476	10.62130957	8.695208377	9.64122	9.970459649	9.80347	9.597373689	8.953348852	8.325771684	8.95335619	8.355954107	8.891828934	7.041367379	11.24966369	9.658706999	10.49178877	8.830286266	7.4987	10.34525127	9.524618767	9.419933093	8.996167499	10.23112519	8.70643	9.547823754	9.18633	10.36232869	7.070256476	7.879940581	9.569210581	9.409706139	8.367877227	9.99775155	10.49482566	8.902200672	10.12382191	9.572320848	9.605007338	9.737520593	7.88721	9.45785	9.921403348	9.457992759	9.482106176	10.28807738	9.52498207	10.33568058	8.531218934	9.738536346	9.23264314	10.50394738	8.720866476	7.461400848	9.20258147	8.424631733	8.854827227	8.477273093	9.783745735	9.53454147	10.19697335	9.717513754	9.985816176	9.418851905	7.885745663	10.042067	8.60178	9.51648147	10.72835525	9.742531268	8.453523689	10.24591067	6.6072	9.850885254	9.669161503	10.21858127	9.818298852	8.86611	10.23535734	10.37686566	9.724908688	9.352806472	9.999038852	9.071077338
CA4	1.99635207	3.563258767	1.905014185	2.27260155	4.870114234	3.832042953	2.595353093	4.619251684	6.265647227	1.78902	1.48807	2.897386139	1.626420848	5.262436176	3.877478688	1.403335195	3.229626476	2.05514957	2.274648377	2.05538	4.165279649	2.64596	1.767733689	2.700158852	0.979711684	6.07745619	1.486134107	5.439568934	2.114567379	2.420473689	4.908096999	2.374968767	4.306696266	1.48248	2.732841268	2.238138767	4.153973093	2.097437499	2.218485195	1.82678	5.567563754	1.86609	2.734518688	1.503216476	1.539130581	4.240340581	5.246566139	2.280067227	2.78490155	1.977915663	1.577570672	5.670831905	2.678200848	2.072687338	3.505890593	0.94368	2.69621	1.963563348	3.162192759	2.132406176	3.594817379	1.32015207	1.946260581	3.745518934	1.000816346	3.37555314	2.238667379	2.507796476	0.882000848	0.83527147	3.012281733	1.387567227	1.840093093	5.449845735	2.53772147	2.644733349	5.285203754	4.329736176	5.050671905	2.239155663	3.029946999	2.86974	5.47649147	2.678105254	5.553221268	3.963183689	2.880720672	1.3608	0.971095254	2.834601503	4.583551268	7.665918852	2.74554	6.787917338	3.173245663	1.599608688	3.013436472	2.078978852	1.301747338
PTPRS	3.92639207	4.177648767	2.408404185	2.65126155	2.403934234	3.430612953	2.892593093	2.067461684	4.636927227	2.87055	3.00265	3.779226139	2.851900848	4.655306176	5.636148688	2.386055195	2.439546476	4.31937957	2.116978377	2.74435	3.154129649	3.71592	2.980653689	2.656978852	3.749131684	2.56300619	1.720764107	3.344348934	1.666587379	3.724143689	2.182836999	3.022058767	2.441876266	1.93967	2.562191268	4.161208767	2.140903093	2.545877499	2.575815195	2.12139	1.862483754	2.91956	4.743898688	1.465706476	2.789350581	2.463310581	2.559396139	1.612237227	3.14013155	3.099665663	2.675470672	2.172761905	1.964790848	3.804667338	2.056340593	2.26572	2.44355	2.513563348	2.722262759	3.617256176	2.791347379	2.31835207	2.589450581	1.660718934	3.017076346	2.33190314	3.157417379	2.375316476	1.811700848	2.33299147	3.338141733	2.486987227	2.738423093	2.995495735	2.84036147	3.981553349	3.354803754	1.615346176	2.712921905	2.580875663	2.509916999	2.35625	1.85940147	3.216975254	2.566321268	2.721913689	2.573490672	2.22014	2.308695254	3.786611503	2.703101268	2.189048852	2.02904	3.575657338	3.229425663	4.555378688	1.937076472	3.290478852	2.922277338
MBL2	11.65159207	11.65166877	5.686594185	10.03005155	10.53595423	11.13981295	11.74705309	10.20354168	9.586607227	10.15756	9.06167	12.77400614	9.951860848	9.412046176	12.40122869	11.49368519	9.827016476	12.60516957	10.38231838	6.13808	9.697329649	12.05011	11.09589369	10.47564885	12.05532168	9.09207619	7.538644107	10.97717893	10.27974738	8.551853689	10.694457	9.470408767	8.043986266	10.14889	10.93196127	11.02627877	11.76325309	10.0008475	9.364685195	10.18174	9.839803754	8.6292	10.03168869	10.19123648	7.928860581	12.63221058	11.23565614	7.184647227	7.24545155	11.28447566	8.697100672	5.651371905	11.47615085	8.754637338	10.14527059	9.18499	10.35015	9.121843348	10.83969276	9.808786176	11.66951738	8.93901207	8.285920581	10.79311893	11.66063635	12.15387314	11.78567738	9.767656476	8.828330848	9.52444147	10.08626173	8.912247227	9.425363093	12.03972574	8.94741147	12.08443335	9.565373754	10.80088618	12.28589191	10.45749566	9.990256999	11.1393	10.92167147	12.47669525	10.66557127	12.06557369	12.78724067	9.14852	6.930805254	11.8032915	7.437161268	12.45002885	11.15755	10.29882734	12.44173566	12.32339869	10.53801647	10.85253885	12.10821734
TIMP1	11.07717207	9.727008767	9.526604185	10.06402155	9.008294234	8.204932953	7.802463093	8.692581684	9.779947227	9.24514	10.06327	9.183856139	9.189220848	10.57588618	10.77501869	8.792615195	10.66377648	8.77079957	8.550528377	10.13219	9.054659649	8.83914	9.294093689	10.63672885	9.370811684	8.05347619	8.727114107	8.959838934	9.742867379	10.66466369	7.939386999	8.800108767	9.089916266	9.67345	8.123891268	9.706618767	9.826703093	10.1337775	8.444565195	9.79814	7.830573754	9.89064	7.924848688	9.504886476	9.852560581	8.534960581	7.743906139	9.190837227	8.54326155	9.730545663	9.414190672	7.540711905	9.379860848	9.841597338	7.805260593	9.55107	9.07609	10.04991335	9.073052759	8.995686176	8.881047379	8.91418207	9.628550581	8.168328934	9.775816346	8.72739314	8.630897379	9.966546476	9.520030848	8.60974147	10.40216173	8.734067227	9.289393093	8.347155735	8.38919147	10.54174335	7.564363754	7.902196176	8.546081905	9.812735663	9.674276999	9.83103	9.65065147	9.766595254	9.295751268	10.11118369	8.359100672	9.02175	9.950295254	8.413971503	7.692741268	7.606378852	9.42412	8.220837338	8.327875663	9.006158688	9.694036472	8.542488852	9.204157338
ANGPTL3	2.35770207	3.407298767	0.515304185	1.69503155	2.095644234	2.878182953	1.295503093	0.555141684	1.357747227	1.24861	1.85224	3.350486139	0.963230848	3.777786176	4.260788688	0.791765195	1.817716476	3.04201957	0.540088377	1.35058	2.232139649	3.23702	1.753133689	1.227108852	1.602101684	0.93109619	0.990354107	1.565398934	0.751207379	1.942653689	0.729756999	1.823398767	2.222376266	0.79002	0.877331268	2.292848767	2.880743093	1.567287499	1.428225195	1.40773	1.407533754	1.85511	2.066938688	1.151956476	1.006800581	1.798530581	0.555276139	0.019267227	1.55792155	2.733825663	1.089720672	0.818411905	1.301030848	2.530417338	1.001520593	0.63506	0.36241	1.672403348	2.588642759	1.968816176	1.258337379	1.22549207	1.401850581	0.811608934	1.890406346	1.66237314	1.856127379	0.962456476	0.611630848	0.69770147	1.949551733	1.419527227	1.279983093	2.036995735	1.73445147	3.636833349	1.602193754	0.279476176	3.097011905	1.039595663	1.218016999	1.68608	2.36704147	2.619175254	1.732611268	2.094633689	2.403090672	0.62465	0.830855254	1.323671503	0.950881268	1.563328852	1.30294	2.754237338	3.037425663	2.185918688	1.681956472	1.793438852	2.080407338
REG3A	3.58885207	2.156838767	0.0	3.43960155	2.982274234	0.866662953	4.276583093	2.563541684	0.147097227	0.49546	1.56478	2.424266139	0.698450848	1.847956176	3.256238688	0.890705195	0.0	4.03827957	0.466718377	0.2037	0.923369649	4.79138	0.852253689	0.0	1.006631684	0.0	0.176774107	-0.234651066	0.0	0.0	0.322196999	0.928518767	2.850726266	0.0	2.130681268	1.461878767	0.0	1.198577499	0.994295195	1.10142	0.0	0.93613	1.809478688	0.0	1.104930581	4.242150581	2.728596139	0.0	1.02904155	1.324865663	0.250070672	0.906851905	0.005180848	0.542587338	-0.405949407	0.88978	3.15137	0.572613348	1.029962759	1.833216176	0.757937379	0.0	0.736190581	0.543648934	2.464036346	1.16936314	2.080467379	0.0	0.0	0.38893147	0.867261733	0.560907227	0.187953093	0.795135735	1.23724147	1.323203349	0.353693754	5.179806176	0.939891905	0.0	-0.350803001	0.56902	0.30628147	2.887265254	0.115271268	0.472473689	0.801180672	0.48779	0.505815254	1.405651503	2.928861268	2.247748852	0.0	1.076887338	1.530995663	1.030868688	0.0	2.446908852	1.009727338
SOD1	4.70862207	3.603938767	3.650734185	4.02487155	3.797084234	3.060712953	3.832543093	3.320741684	3.443717227	3.66468	3.2622	3.484536139	3.690880848	4.527556176	5.501498688	3.374805195	2.935016476	3.59054957	3.265268377	3.81744	4.124369649	3.64099	3.859453689	3.915538852	2.841311684	3.05949619	3.226944107	3.129778934	3.222447379	4.855453689	3.051236999	3.926688767	3.303106266	3.62493	3.381161268	3.654398767	3.876823093	4.155997499	3.406845195	3.70163	3.044793754	3.79279	2.985798688	3.485316476	3.900190581	3.760160581	3.498836139	2.550537227	3.83807155	3.632395663	3.568250672	3.529141905	3.693690848	3.835107338	3.185830593	3.72006	3.73571	3.595493348	3.867152759	3.289326176	3.708597379	3.36604207	3.812130581	3.348718934	3.681646346	3.47830314	3.863117379	3.341986476	3.695450848	3.51587147	4.066451733	3.462087227	3.514543093	3.579945735	3.32923147	4.279193349	3.284623754	3.115136176	3.326951905	3.136475663	2.986466999	3.67918	3.51802147	4.117495254	3.465671268	3.835423689	3.515110672	3.14465	2.621715254	3.313861503	3.521371268	3.343198852	3.11486	3.873277338	3.551925663	2.519858688	3.316156472	3.385948852	3.636637338
CD46	7.34121207	8.397978767	7.533744185	7.71424155	6.653144234	8.679292953	7.804333093	7.121891684	8.435407227	7.18409	7.17097	8.779766139	8.039480848	8.520876176	11.15899869	7.323205195	7.506446476	8.72088957	8.956148377	7.47279	8.256259649	7.9081	8.079323689	7.707928852	7.590271684	9.30429619	7.479524107	8.450288934	6.076267379	7.811883689	7.081086999	7.495908767	8.075776266	6.49492	6.452021268	8.353588767	7.980523093	5.868837499	6.907035195	6.85989	7.544713754	7.23922	9.165018688	6.368766476	7.318640581	6.444510581	7.446636139	4.793987227	7.10629155	6.883115663	7.745280672	7.484121905	7.598290848	8.656127338	7.608900593	5.86285	7.19997	6.955733348	7.730532759	8.036996176	6.940307379	6.93167207	7.825140581	6.457648934	7.393006346	7.11162314	6.865627379	7.225576476	8.106440848	7.81201147	7.891481733	7.680617227	7.614273093	8.088005735	7.72408147	8.564183349	8.239553754	6.056196176	8.447331905	7.552195663	7.455226999	7.68494	7.90195147	6.625125254	8.123991268	7.497063689	6.314780672	5.84379	6.344525254	8.964131503	7.433801268	6.989068852	7.25512	8.485567338	8.186965663	9.620078688	7.487776472	8.196088852	7.759317338
ITGAM	2.53668207	4.704388767	3.597884185	4.88917155	4.032754234	6.067662953	6.728643093	6.345641684	5.886157227	4.8987	1.9122	5.940276139	4.552820848	5.432196176	8.645508688	3.864565195	4.856126476	6.21416957	6.123858377	3.76572	6.692499649	4.98045	5.052643689	3.838868852	2.267321684	6.88181619	2.725694107	6.484518934	2.038677379	3.665483689	6.154006999	4.970888767	4.889226266	2.62088	4.848551268	4.535848767	5.156663093	3.049247499	3.845405195	3.60706	6.365683754	3.12448	7.379898688	1.815936476	4.231900581	6.522110581	6.902736139	3.018237227	5.30833155	3.481465663	4.414120672	5.991941905	3.663910848	5.679847338	6.282670593	3.30984	5.07652	4.829743348	6.733962759	5.351496176	5.405247379	5.44928207	4.964730581	5.291478934	4.170306346	5.64080314	2.995597379	3.967116476	4.047890848	5.34028147	5.030221733	5.189717227	4.893083093	6.806975735	5.78753147	4.968183349	7.162593754	6.096246176	7.066781905	4.756825663	2.298236999	4.29044	7.46639147	4.798895254	7.051971268	5.340923689	5.026920672	1.55335	3.208515254	7.480751503	6.540491268	7.646788852	3.52472	7.245897338	6.149765663	6.709278688	5.250656472	4.951068852	5.949617338
