	N120B	N123B	N124B	N126B	N130B	N131B	N138B	N140B	N144B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N155B	N158B	N160B	N161B	N163B	N164B	N165B	N166B	N169B	N171B	N172B	N176B	N178B	N179B	N182B	N185B	N186B	N187B	N188B	N189B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N205B	N210B	N212B	N214B	N215B	N216B	N217B	N218B	N221B	N222B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N259B	N261B	N265B	N267B	N268B	N269B	N270B	N153AB
C1R	5.850499414	5.820178962	5.581953751	5.510961919	7.189824559	7.12722055	6.329123596	6.817623258	6.797012978	5.95419631	6.388878339	5.551516018	6.980710829	5.091699834	6.539158811	6.929554316	8.053111336	7.539934245	5.416164165	5.422905743	6.562242424	7.170926525	7.113742166	7.21042783	5.078951341	5.66106548	6.236492618	6.312882955	6.46760555	5.880195729	6.48058827	6.100136671	6.085339669	5.078951341	6.303780748	7.735386783	4.882643049	6.350497247	6.10433666	6.151777655	6.477353527	5.678071905	5.733354341	5.587964989	4.949534933	6.23457796	6.195741293	5.057450272	5.965784285	5.880195729	6.059614856	5.456149035	8.259272487	6.700439718	6.532940288	5.997744026	6.116863758	5.395748328	6.556122818	6.645298164	6.559185866	5.768184325	6.437960088	6.23457796	6.464341533	5.719731057	5.827819025	5.173926932	7.211401637	8.144658243	5.855491443	6.008988783	5.935459748	5.623515741	6.968090752	6.240314329	7.094869433	6.259272487	6.091699834	5.578938713	6.159871337	5.666756592	6.121015401	5.87774425
C1S	6.608809243	6.543805176	6.21916852	5.165911939	7.76420813	6.873609227	6.51412226	6.437656178	6.700439718	5.997744026	6.451211112	5.181897643	7.923624611	4.465974465	5.914086097	7.551516018	7.826548487	6.769507291	5.773468928	5.642908415	7.77478706	6.151777655	7.55228484	7.034523875	4.452858965	5.162751871	6.031218731	6.571373436	5.8899602	6.388878339	6.705977902	5.0	5.205548911	5.462609077	6.818901676	6.712870868	5.022367813	5.221103725	5.529820947	6.189824559	7.107478647	5.270528942	5.678071905	5.989640818	5.053111336	5.794415866	5.031218731	5.599912842	6.062146412	6.523561956	5.608809243	6.574945417	8.147204925	6.539158811	7.752213368	6.685099172	6.454504938	6.320123598	6.193771743	6.312882955	6.412781525	6.159871337	6.758889433	6.451211112	6.177917792	4.770829046	5.529820947	4.935459748	7.587964989	8.271463028	6.270528942	6.431288654	7.21916852	5.974988112	6.441284272	6.165911939	7.708049252	7.092757141	6.300123725	4.95419631	7.002252452	5.517275693	6.708739041	6.683696454
CO3	6.721099189	6.760220946	6.123086751	6.076815597	7.098032083	7.506208389	6.270528942	5.916476644	7.032321287	7.23457796	6.556122818	6.031218731	7.846117173	5.456149035	5.757556689	6.474111514	7.212374788	6.355791547	5.757556689	5.296457407	6.506208389	5.781359714	6.048759312	6.201633861	6.14363831	5.933100475	6.566815154	6.320123598	7.187846909	6.276124405	6.746850183	5.482202926	5.918863237	6.085339669	7.041111535	7.09592442	4.981852653	6.383704292	6.30560579	5.887525271	6.439623138	6.242221395	6.311067102	6.055282436	6.285402219	6.672425342	6.201633861	5.5360529	5.812498225	6.64096791	5.686500527	5.736063628	6.613236955	6.839203788	6.332707934	6.887525271	6.883865155	5.757556689	6.566815154	6.795715007	7.690696444	6.510961919	6.362820526	6.339850003	6.595443985	5.666756592	7.158862106	5.22881869	6.642412773	6.885086225	6.314696526	6.736063628	6.632268215	6.369815424	6.925999419	6.765534746	7.292781749	5.937815169	6.414473836	5.381975479	6.316507819	4.827819025	6.135452784	6.157852169
CO4A	6.217230716	7.01346226	6.12722055	6.569855608	7.258330473	6.343407822	6.490249211	5.378511623	6.862947248	6.809928866	6.503030646	5.904484098	8.030667136	5.318316841	5.804776378	6.022367813	6.77478706	6.587964989	5.48864354	5.935459748	6.240314329	6.108524457	6.361066489	6.58345891	6.022367813	6.114783447	5.683696454	6.029011087	7.162894799	6.905687849	6.346956889	5.432959407	5.725195817	6.442943496	6.521992956	7.167919866	5.419538892	6.110613806	6.083213368	6.087462841	6.230741003	6.633721813	6.171927354	6.394033895	5.930737338	6.397460726	5.791814071	5.944858446	6.133399125	6.768184325	5.738767837	6.400879436	7.057450272	6.965784285	6.924812504	6.399171094	6.744161096	5.988684687	6.806066226	6.139551352	7.296457407	6.110613806	6.247927513	6.341630009	6.651051691	5.560714954	7.392317423	5.040015679	6.203592714	6.86913112	6.350497247	6.451211112	6.741466986	6.712870868	7.288173968	6.786596362	8.926888964	6.011227255	6.549977143	5.590961241	6.093813673	5.416164165	5.708739041	6.03562391
CO4B	6.54225805	6.490249211	6.687900522	7.50779464	6.026800059	5.475733431	6.493455201	5.385431037	5.812498225	5.727920455	7.047669251	5.617651119	7.782670659	6.894817763	5.551516018	7.098032083	6.414473836	5.285402219	5.99095486	3.981852653	5.87282876	5.820178962	5.638073837	6.112700133	6.368069877	5.930737338	6.569712605	6.249824549	6.591590105	6.417852515	7.288173968	5.422905743	5.708739041	4.504620392	6.834154981	6.215290306	5.605849867	6.332707934	5.357552005	6.205548911	6.972692654	6.834154981	6.687900522	5.43629512	5.004501392	6.523561956	6.255500733	5.224966365	6.14363831	5.336283388	5.47646152	5.189824559	7.306517445	7.269594252	4.566815154	6.778734244	7.677367292	5.885086225	5.705977902	6.121015401	7.67030217	5.789207575	6.06608919	6.129283017	6.46760555	5.329123596	7.742140985	4.566815154	6.422905743	7.388017285	6.680886921	7.029011087	6.847996907	6.431288654	6.539542929	6.840463234	8.311975314	5.658211483	5.997744026	3.981852653	6.057450272	4.465974465	5.587964989	6.125155131
CO5	6.114783447	6.756222713	6.201633861	6.532940288	6.741466986	6.464341533	5.786596362	5.918863237	6.965784285	7.289096702	6.520422249	6.240314329	6.517275693	5.526694846	6.531381461	6.223036338	7.873444113	6.085339669	5.221103725	5.827819025	7.58345891	7.67030217	6.678071905	6.560714954	5.357552005	6.375039431	6.50779464	5.897240426	6.06608919	6.078951341	6.746850183	5.722466024	6.078951341	6.549977143	6.173926932	6.875288598	4.070389328	7.204571144	6.48864354	5.523561956	6.675251386	6.746850183	5.554588852	5.449561375	4.554588852	6.059614856	6.77478706	4.678071905	5.491853096	6.029011087	6.116863758	6.221103725	7.863566829	6.263034406	5.904484098	5.590961241	6.636624621	5.5360529	7.382840144	6.912889336	7.389738879	6.026800059	6.994353437	6.30560579	7.259272487	5.949534933	6.294620749	4.882643049	6.58345891	7.166916252	6.12722055	6.444600814	6.285402219	5.617651119	7.301953395	6.993221467	8.068778278	5.169925001	6.116863758	5.368069877	5.678071905	5.385431037	6.699051844	6.589463893
CO6	6.307428525	6.402585758	6.498250868	5.963474124	7.352264173	5.765534746	6.498250868	6.133399125	6.875288598	7.005624549	6.217230716	5.678071905	6.658211483	5.392317423	6.110613806	7.121015401	7.51412226	6.285402219	5.232660757	6.015693807	7.161887682	7.102238194	6.017921908	5.705977902	5.078951341	5.855491443	7.40173285	5.760220946	7.207502459	5.596935142	7.09592442	6.373300197	6.147713722	5.584962501	6.673839056	6.590961241	4.161887682	7.220136447	6.678071905	5.914086097	6.857980995	7.010108453	5.663913842	5.781359714	4.485426827	6.506208389	7.424586226	4.419538892	5.768184325	6.024585638	5.845490051	5.51412226	7.464341533	6.672425342	5.255500733	6.385431037	6.543805176	5.270528942	7.885086225	6.722466024	7.196725061	6.539158811	6.518849829	6.431288654	7.133399125	5.817623258	6.875288598	4.472487771	6.62058641	7.04220656	6.024585638	6.316507819	7.740118043	6.135452784	7.193771743	6.961160258	7.857980995	5.057450272	6.395748328	5.259272487	5.749534268	5.141596278	5.711494907	6.362820526
CO7	5.968090752	6.002252452	6.601399391	6.287250643	7.047669251	5.947198584	6.421223299	5.968090752	6.8008999	6.676662335	6.217230716	5.974988112	6.623515741	5.209453366	6.232660757	6.221103725	7.829088444	6.493455201	5.070389328	5.705977902	7.553053253	7.189824559	6.714245518	6.004501392	5.157852169	5.663913842	7.30103885	6.070389328	7.313790025	5.812498225	6.964629667	5.827819025	5.916476644	6.161887682	6.809928866	7.224966365	4.906890596	6.891176125	6.147713722	5.5360529	5.8899602	6.543805176	5.587964989	5.285402219	5.185866545	5.904484098	7.05202456	5.274261661	5.551516018	5.995484519	6.167919866	5.28169825	7.532161085	6.525129251	5.64096791	6.232660757	6.83541884	5.99095486	7.534497434	6.167919866	6.923624611	6.106432078	6.116863758	6.483815777	6.961160258	5.590961241	6.6794801	5.0	6.449561375	7.555356039	5.548436625	5.501439145	7.664625055	6.137503524	7.77939106	6.703211467	8.153805336	5.307428525	6.199672345	5.416164165	5.802193217	5.375039431	5.776103988	6.266786541
CO8A	6.459431619	5.64385619	6.230741003	5.845490051	6.469234794	6.605849867	6.048759312	5.993221467	6.711494907	7.163901214	6.666756592	5.923624611	6.816343705	5.426264755	6.378511623	6.346956889	7.887525271	6.442943496	5.614709844	5.361066489	7.192785959	7.824640581	6.373300197	6.387155718	5.472487771	5.61176256	6.881419908	6.296457407	7.030115331	5.773468928	6.867896464	5.578938713	5.947198584	5.897240426	6.515699838	7.511752654	4.399171094	6.399171094	5.694880193	5.240314329	6.272396509	5.725195817	5.972692654	5.145677455	4.590961241	5.87282876	6.357552005	4.744161096	5.783980414	6.307428525	6.255500733	5.842978832	7.432959407	6.48864354	6.165911939	5.963474124	6.215290306	5.897240426	7.01234519	6.671010241	6.949534933	6.332707934	6.485426827	6.238404739	6.769507291	5.716990894	6.608809243	4.566815154	6.320123598	6.986410935	6.290940402	5.725195817	6.504620392	6.416164165	7.563768278	6.464341533	8.219652565	5.581953751	6.10433666	5.569855608	5.504620392	5.303780748	6.290940402	6.145677455
CO8B	6.238404739	6.110613806	5.951867504	5.449561375	6.325530332	6.456149035	6.371558863	5.599912842	6.509379149	6.019060515	6.97384084	5.498250868	6.666756592	4.887525271	6.289096702	7.169925001	8.744497506	6.287250643	5.733354341	4.700439718	6.636624621	6.804776378	5.852997588	5.925999419	5.221103725	5.277984747	6.978424465	5.972692654	7.504620392	5.314696526	6.820178962	5.044394119	5.867896464	5.449561375	6.417852515	7.776103988	3.185866545	6.312882955	5.517275693	4.392317423	6.598424761	5.675251386	5.442943496	4.797012978	5.022367813	5.773468928	7.24697806	4.439623138	5.422905743	6.294620749	5.840463234	4.99095486	7.375039431	5.918863237	6.723831566	6.272396509	6.444600814	5.213347282	7.293701542	7.006188663	6.995484519	6.118941073	6.663913842	6.385431037	7.01346226	5.517275693	7.651769271	4.744161096	6.520422249	6.765534746	5.752440105	5.773468928	7.283551423	6.64096791	7.358431429	6.48864354	7.874674032	5.112700133	6.528258743	4.87774425	5.658211483	4.584962501	6.050936965	6.407692649
CO8G	6.373300197	6.191799501	7.260213887	6.033423002	5.972692654	6.364572432	6.114783447	5.997744026	6.733354341	6.897240426	6.247927513	5.988684687	6.768184325	6.050936965	6.112700133	6.274261661	8.182890893	6.061776198	5.897240426	5.95419631	6.48864354	7.043300754	6.475733431	6.381975479	6.554588852	6.153805336	7.563768278	5.439623138	6.74819285	6.617651119	6.929554316	4.817623258	6.45779126	6.846744023	6.264911693	7.06501215	4.626439137	7.23935985	5.716990894	5.638073837	6.559185866	6.656782364	5.82527683	5.539158811	4.626439137	6.610286657	7.116863758	4.822730148	5.744161096	6.44625623	6.553053253	5.882643049	7.346070441	5.997744026	6.348728154	5.906890596	6.523561956	6.251719093	7.369815424	5.942514505	7.252665432	5.746850183	7.021257621	5.762880293	6.786596362	5.842978832	6.694880193	5.381975479	5.87036472	6.551516018	5.752213368	6.209453366	7.159871337	5.812498225	6.949534933	6.559185866	7.293701542	4.711494907	6.276124405	5.892391026	5.904484098	6.422905743	6.690696444	6.517275693
CO9	6.055282436	5.694880193	6.832890014	5.708739041	5.911691582	6.024585638	6.236492618	6.964629667	6.574404309	6.795715007	6.598424761	6.355791547	6.978424465	6.686500527	5.968090752	6.175923742	8.184875343	6.341630009	5.760220946	5.649615459	6.95070169	8.019590728	6.137503524	6.577428828	5.270528942	5.551516018	7.01234519	5.911691582	6.752213368	5.770829046	7.06608919	4.897240426	6.078951341	6.029011087	6.985272714	7.732676223	3.944858446	6.48703608	6.022367813	4.689299161	6.545350645	6.068240861	5.578938713	5.469234794	5.100136671	5.949534933	6.62497818	5.666756592	5.078951341	5.539158811	6.298291731	5.711494907	7.385431037	6.112700133	5.501439145	6.029011087	6.571373436	5.173926932	7.05202456	6.822730148	7.223036338	6.345183447	6.693486957	5.935459748	6.817623258	5.581953751	6.74281467	4.892391026	6.116863758	6.48058827	5.336283388	5.526694846	7.148730779	7.146695948	8.270528942	6.6395216	7.791162889	4.711494907	6.301953395	6.642412773	5.768184325	5.887525271	6.279842694	6.714245518
CFAB	6.683696454	6.595443985	6.92243574	5.449561375	7.161133493	6.955359305	6.201633861	6.560714954	6.839203788	6.09592442	6.499845887	6.362820526	6.703211467	5.504620392	6.543805176	6.697662633	8.153805336	7.063934306	6.289096702	5.429615964	6.454504938	6.752213368	7.130313146	6.09592442	6.031021639	5.822730148	7.049848549	6.897240426	6.587964989	5.815063017	6.257387843	5.760220946	6.38024459	6.656782364	6.5360529	6.841721581	5.554588852	6.851749041	5.632268215	5.749534268	6.630813152	5.93726027	6.296457407	5.736063628	6.108524457	6.444600814	6.332707934	5.830356747	5.804776378	6.426264755	6.402585758	5.899659026	7.075746538	6.491853096	6.6043679	6.862947248	6.93191939	5.666756592	6.002252452	6.074676686	6.813781191	6.593951284	6.563768278	6.731997787	6.549977143	6.0725346	6.139551352	6.341630009	6.385431037	7.432124273	5.791814071	6.0725346	6.642412773	6.512542955	7.019034669	6.562242424	8.415319248	6.215290306	6.195741293	5.560714954	6.031218731	5.832890014	6.693486957	6.434628228
CFAD	6.773468928	6.475733431	6.66106548	6.867896464	5.449561375	6.522050963	6.340662542	7.545508066	6.298560013	6.28169825	6.846744023	6.616181231	6.145404599	6.277266923	6.129283017	6.283551423	8.751878752	6.711494907	6.338067798	6.301213003	6.649615459	6.958842675	6.171927354	6.268658955	4.857980995	5.528844984	7.66106548	5.83541884	5.004501392	5.627254752	5.988684687	5.478971805	5.757556689	6.114185206	6.586464526	6.789207575	6.031805662	6.040841364	6.466349287	6.232336703	6.802193217	5.617651119	6.710725918	6.435292758	5.708739041	6.421223299	6.563768278	6.529820947	6.444441168	6.242221395	6.195741293	6.088272842	6.390598906	6.068240861	6.957682486	6.369815424	6.581953751	6.080628574	6.183883459	6.465974465	6.23031333	6.475733431	6.482202926	5.786596362	6.577428828	5.995484519	6.236492618	5.722466024	6.307384827	6.068821813	6.155830172	5.395748328	6.437960088	6.675251386	6.970393538	6.696272084	7.946613905	6.247927513	5.850499414	6.218365473	5.504620392	5.899436345	5.680886921	6.06608919
CFAH	5.911691582	6.976134473	5.539158811	6.008988783	7.374170076	8.257387843	6.575917361	6.341630009	7.0725346	6.187846909	6.364572432	6.123086751	6.504620392	5.354028938	6.482202926	6.894817763	7.541483864	7.238404739	6.334496768	5.083213368	6.444600814	6.616181231	6.441284272	6.92243574	5.285402219	5.794415866	6.246027981	6.617651119	6.155830172	6.169925001	6.300123725	5.865423978	6.171927354	6.201633861	6.715618859	6.906890596	5.070389328	6.523561956	5.937815169	6.276124405	6.5360529	6.057450272	6.5360529	5.820178962	6.539158811	7.270528942	5.909293086	5.768184325	6.059614856	6.395748328	6.135452784	6.159871337	7.66035251	6.992088609	6.994353437	5.857980995	6.575917361	5.655351829	7.177917792	6.110613806	7.159871337	6.116863758	6.617651119	6.849248703	6.485426827	5.736063628	5.658211483	5.686500527	6.490249211	7.340740281	6.187846909	6.169925001	5.9795681	5.285402219	6.723831566	6.797012978	7.880195729	6.962317655	6.141596278	5.569855608	6.568336182	5.517275693	6.887525271	5.820178962
FHR1	5.247927513	6.098032083	6.715618859	5.439623138	7.341630009	7.122051448	6.336283388	6.037821465	7.419538892	7.211401637	4.852997588	5.343407822	6.551516018	2.678071905	5.498250868	6.14974712	8.622051819	6.596935142	6.093813673	5.133399125	6.986410935	6.434628228	6.100136671	5.635173947	5.485426827	5.930737338	6.974988112	6.274261661	6.131342539	5.744161096	6.48703608	6.645298164	6.004501392	5.263034406	6.381975479	6.646738698	4.008988783	6.61176256	6.053111336	6.04220656	7.271463028	6.51412226	5.112700133	5.652486495	4.517275693	5.614709844	6.517275693	5.074676686	5.318316841	4.921245889	5.371558863	5.346956889	6.183883459	7.390598906	6.768184325	5.28169825	5.614709844	4.378511623	7.377644358	5.855491443	7.921245889	6.338067798	5.911691582	5.716990894	6.213347282	5.62058641	7.314696526	4.491853096	5.942514505	6.183883459	5.584962501	5.862947248	3.070389328	5.343407822	7.205548911	6.64385619	8.049848549	3.632268215	6.274261661	5.300123725	6.704595348	4.958842675	5.683696454	5.714245518
FHR2	6.421223299	6.675251386	6.630813152	5.478971805	7.663913842	7.040015679	6.493455201	4.981852653	6.927185358	6.866660751	7.09592442	5.672425342	6.723831566	4.560714954	6.472487771	6.416164165	7.332707934	6.568336182	4.797012978	4.705977902	8.544578117	5.635173947	6.943686952	6.287250643	4.0	6.62935662	7.29186137	6.294620749	7.344295908	6.255500733	6.223036338	5.165911939	6.048759312	5.608809243	6.839203788	5.984133595	4.817623258	6.549977143	6.421223299	6.626439137	5.563768278	6.153805336	5.708739041	4.887525271	3.99095486	3.5360529	6.17990909	4.478971805	5.632268215	6.011227255	5.768184325	5.9795681	6.790511412	7.651051691	6.296457407	6.366322214	6.687900522	5.765534746	7.171927354	6.327328083	7.270528942	5.575917361	6.181897643	6.559185866	6.167919866	4.711494907	5.789207575	4.638073837	6.689299161	7.448735798	5.942514505	6.441284272	5.523561956	5.655351829	5.923624611	7.094869433	8.60399717	6.263034406	6.689299161	4.649615459	5.951867504	4.626439137	5.733354341	5.584962501
FHR3	5.749534268	6.6794801	6.762880293	6.477353527	6.800034663	7.820817182	6.539158811	4.94016675	8.048759312	5.736063628	2.807354922	6.716990894	5.799605422	2.40599236	6.58044702	7.251719093	8.404715827	6.179387115	6.031218731	6.193243417	6.776103988	5.988631061	6.381975479	6.121015401	5.337976397	6.207285806	8.207990433	6.21916852	6.12722055	6.470862199	6.689588229	8.847683788	5.614709844	3.837943242	7.287250643	6.085339669	2.10433666	5.778734244	4.54225805	6.630813152	7.011227255	6.074780194	4.412781525	4.730279592	6.020146573	6.703211467	7.05202456	5.711494907	5.409390936	3.632268215	5.807354922	3.87774425	5.935459748	6.66106548	5.842978832	7.410239331	6.359310317	4.026800059	8.778734244	3.053111336	7.635173947	6.595443985	6.449561375	6.409390936	6.145677455	5.289096702	6.881419908	5.048759312	6.157852169	6.876516947	3.432959407	5.752213368	6.108524457	7.112700133	5.646738698	6.714245518	7.725877459	5.185866545	6.050936965	5.346956889	8.032321287	6.002252452	6.206643727	6.083213368
FHR5	6.031218731	7.8899602	7.054197294	6.057450272	7.837312556	6.785288981	6.896029603	5.381975479	7.041111535	6.499845887	5.904484098	5.061776198	6.046578367	5.426264755	5.778734244	6.769507291	7.730639956	6.334496768	5.354028938	5.972692654	6.960001932	6.044394119	5.683696454	7.20261362	4.827819025	5.711494907	7.188836073	5.9795681	7.375039431	5.897240426	7.981852653	8.643495471	6.614709844	5.857980995	7.019034669	5.274261661	5.083213368	7.0725346	6.54689446	6.51412226	6.923624611	7.543805176	5.378511623	5.482202926	5.485426827	6.551516018	7.204571144	4.572889668	5.266786541	5.392317423	5.658211483	5.842978832	5.722466024	7.240314329	6.447909749	5.64385619	6.209453366	5.66106548	8.706323333	6.736063628	8.188341576	6.623515741	6.962317655	7.017921908	6.249824549	4.770829046	7.262094845	5.177917792	6.309248961	7.094869433	6.50779464	6.515699838	7.023477152	5.827819025	6.794415866	7.608809243	7.061776198	5.01346226	6.477353527	4.902073579	6.54689446	4.986410935	6.482202926	5.526694846
